Source,club1_name,Target,club2_name,club1_wins,club2_wins,draws
163,Atletico Madrid,999,Fiorentina,1,0,1
163,Atletico Madrid,525,Cagliari,1,1,0
163,Atletico Madrid,2037,Parma,0,2,0
163,Atletico Madrid,1674,Monaco,2,0,0
163,Atletico Madrid,1590,Lens,0,1,1
163,Atletico Madrid,1748,Marseille,2,0,1
163,Atletico Madrid,2173,Rennes,1,0,1
163,Atletico Madrid,1800,Nantes,1,0,1
163,Atletico Madrid,398,B Dortmund,2,3,1
163,Atletico Madrid,468,B Leverkusen,3,2,3
163,Atletico Madrid,469,B Munich,2,4,2
163,Atletico Madrid,5709,RB Leipzig,0,1,0
163,Atletico Madrid,2260,Schalke,2,1,1
163,Atletico Madrid,2854,W Bremen,1,0,1
163,Atletico Madrid,2967,Wolfsburg,2,0,0
2165,Real Madrid,224,Barcelona,25,32,21
2165,Real Madrid,2292,Sevilla,40,16,5
2165,Real Madrid,2192,Sociedad,28,12,11
2165,Real Madrid,3123,Villarreal,23,4,14
2165,Real Madrid,2159,Real Betis,25,10,14
2165,Real Madrid,3427,Granada,14,1,0
2165,Real Madrid,207,Athletic Bilbao,37,13,10
2165,Real Madrid,3251,Levante,19,6,3
2165,Real Madrid,690,Celta Vigo,30,12,6
2165,Real Madrid,3216,Cadiz,4,1,0
2165,Real Madrid,2697,Valencia,36,14,14
2165,Real Madrid,3480,Getafe,23,5,4
2165,Real Madrid,2975,Alaves,17,3,2
2165,Real Madrid,2676,Valladolid,25,4,11
2165,Real Madrid,3496,Huesca,4,0,0
2165,Real Madrid,3481,Elche,5,0,1
2165,Real Madrid,889,Eibar,13,1,2
2165,Real Madrid,1951,Osasuna,24,5,8
2165,Real Madrid,1370,Inter,5,5,1
2165,Real Madrid,41,AC Milan,6,6,3
2165,Real Madrid,1408,Juventus,10,9,2
2165,Real Madrid,17,Atalanta,2,0,0
2165,Real Madrid,1801,Napoli,3,0,1
2165,Real Madrid,1501,Lazio,2,0,2
2165,Real Madrid,2163,Roma,8,3,1
2165,Real Madrid,999,Fiorentina,1,0,0
2165,Real Madrid,2068,Paris Saint Germain,3,1,2
2165,Real Madrid,1674,Monaco,1,1,0
2165,Real Madrid,1645,Lyon,3,3,4
2165,Real Madrid,1748,Marseille,4,0,0
2165,Real Madrid,1832,Nice,4,1,0
2165,Real Madrid,2146,Reims,2,0,0
2165,Real Madrid,398,B Dortmund,6,3,5
2165,Real Madrid,468,B Leverkusen,4,1,2
2165,Real Madrid,403,B M'gladbach,1,0,3
2165,Real Madrid,469,B Munich,12,11,3
2165,Real Madrid,970,Cologne,1,1,0
2165,Real Madrid,884,E Frankfurt,1,0,0
2165,Real Madrid,2260,Schalke,3,1,0
2165,Real Madrid,2854,W Bremen,1,1,0
2165,Real Madrid,2967,Wolfsburg,1,1,0
224,Barcelona,2292,Sevilla,41,13,13
224,Barcelona,2192,Sociedad,35,8,12
224,Barcelona,3123,Villarreal,27,8,10
224,Barcelona,2159,Real Betis,32,9,9
224,Barcelona,3427,Granada,14,2,0
224,Barcelona,207,Athletic Bilbao,46,13,15
224,Barcelona,3251,Levante,23,4,4
224,Barcelona,690,Celta Vigo,24,11,14
224,Barcelona,3216,Cadiz,2,1,1
224,Barcelona,2697,Valencia,33,16,19
224,Barcelona,3480,Getafe,26,4,6
224,Barcelona,2975,Alaves,20,4,3
224,Barcelona,2676,Valladolid,29,4,5
224,Barcelona,3496,Huesca,5,0,1
224,Barcelona,3481,Elche,7,0,1
224,Barcelona,889,Eibar,11,0,2
224,Barcelona,1951,Osasuna,25,6,9
224,Barcelona,1370,Inter,8,2,4
224,Barcelona,41,AC Milan,8,4,5
224,Barcelona,1408,Juventus,5,6,4
224,Barcelona,1801,Napoli,1,0,1
224,Barcelona,1501,Lazio,1,0,0
224,Barcelona,2163,Roma,2,2,2
224,Barcelona,2388,Sampdoria,2,0,0
224,Barcelona,2634,Udinese,2,0,0
224,Barcelona,999,Fiorentina,3,1,2
224,Barcelona,2068,Paris Saint Germain,5,4,4
224,Barcelona,1674,Monaco,2,0,0
224,Barcelona,1645,Lyon,5,0,3
224,Barcelona,1832,Nice,1,1,0
224,Barcelona,2248,Strasbourg,0,0,3
224,Barcelona,398,B Dortmund,1,0,1
224,Barcelona,468,B Leverkusen,6,1,1
224,Barcelona,403,B M'gladbach,2,0,0
224,Barcelona,469,B Munich,2,7,2
224,Barcelona,970,Cologne,1,0,1
224,Barcelona,1284,Hertha Berlin,1,0,1
224,Barcelona,2260,Schalke,2,0,0
224,Barcelona,2682,Stuttgart,3,0,1
224,Barcelona,2854,W Bremen,3,0,1
2292,Sevilla,2192,Sociedad,19,14,11
2292,Sevilla,3123,Villarreal,21,10,12
2292,Sevilla,2159,Real Betis,21,10,16
2292,Sevilla,3427,Granada,10,5,2
2292,Sevilla,207,Athletic Bilbao,25,18,12
2292,Sevilla,3251,Levante,16,4,7
2292,Sevilla,690,Celta Vigo,16,17,7
2292,Sevilla,3216,Cadiz,5,1,2
2292,Sevilla,2697,Valencia,21,25,10
2292,Sevilla,3480,Getafe,16,13,6
2292,Sevilla,2975,Alaves,9,3,5
2292,Sevilla,2676,Valladolid,11,6,15
2292,Sevilla,3496,Huesca,3,1,0
2292,Sevilla,3481,Elche,4,1,1
2292,Sevilla,889,Eibar,7,3,4
2292,Sevilla,1951,Osasuna,18,11,11
2292,Sevilla,1370,Inter,1,0,0
2292,Sevilla,41,AC Milan,0,1,0
2292,Sevilla,1408,Juventus,1,2,1
2292,Sevilla,1501,Lazio,2,0,0
